int.rate,installment,log.annual.inc,dti,fico
0.1608,35.2,10.30895266,23.84,642
0.1608,246.38,12.1521443,22.47,647
0.16,787.53,11.26446411,19.34,682
0.164,126.4,10.30895266,29.6,677
0.1482,242.05,10.71441777,19.12,652
0.1482,172.89,10.6454249,18.51,652
0.138,149.96,10.73639668,16.7,662
0.1482,311.2,11.39414193,19.34,657
0.1703,570.69,11.35510138,25.32,672
0.1324,404.03,12.20607265,21.31,697
0.1229,236.81,10.1266311,15.55,672
0.1229,250.15,10.73639668,3.03,672
0.1387,231.98,11.51292546,14.64,657
0.1387,163.75,10.77895629,9.18,652
0.1671,385.27,10.91871823,26.52,667
0.0775,156.11,11.15625052,8.81,772
0.0838,204.84,10.78931908,4,742
0.0807,136.45,11.69524702,4,742
0.0933,80.69,11.60823564,10,712
0.0933,124.62,11.49272276,10,707
0.1154,164.98,10.91508846,10,697
0.1028,164.42,11.46163217,10,702
0.0964,32.11,9.392661929,10,697
0.0996,103.2,11.91839057,10,692
0.1028,113.39,12.10071213,10,687
0.1122,211.85,10.37349118,10,687
0.0964,208.66,9.903487553,10,712
0.0996,64.5,8.699514748,10,687
0.1249,42.65,10.59663473,10,707
0.0933,95.86,9.903487553,10,712
0.0901,95.42,10.46310334,10,717
0.0775,209.18,12.22098096,1,802
0.0775,218.55,11.39075783,1,802
0.0743,155.38,11.65442503,1,802
0.1122,344.87,11.00209984,19.5,742
0.0712,30.94,10.81977828,1.1,772
0.0838,81.94,8.779557456,6.46,722
0.0743,93.23,11.28978191,0.39,797
0.0743,77.69,11.10682015,10.36,787
0.0775,156.11,12.61153775,5.38,757
0.1407,34.21,10.1266311,16.27,642
0.1091,45.78,10.59663473,8.61,672
0.1122,164.23,10.23995979,3.51,672
0.0901,38.17,10.49127422,3.27,707
0.0964,141.25,10.30895266,3.72,697
0.1059,195.28,9.903487553,12.9,697
0.0712,61.87,11.91839057,5.6,802
0.147,345.18,10.81977828,7.22,652
0.0964,61,11.51292546,10,707
0.1312,180.57,8.29404964,15,662
0.1312,202.51,9.392661929,4.4,657
0.128,67.2,9.210340372,3.48,647
0.1312,226.98,11.00209984,13.16,672
0.1501,693.45,11.28978191,3.11,672
0.1059,325.46,10.91508846,17.96,727
0.1691,142.43,11.12726298,19.62,657
0.1438,89.35,10.6454249,16.91,642
0.1091,114.44,9.61580548,11.52,682
0.1186,265.17,11.05089001,10.42,687
0.1312,135.01,10.37349118,7.91,652
0.147,345.18,11.08214255,6.37,647
0.1028,38.88,8.29404964,8.1,682
0.1249,33.45,10.37349118,5.21,652
0.1249,150.52,10.34174248,9.56,662
0.1438,61.86,10.59663473,4.11,632
0.1533,139.31,11.36210258,20.12,652
0.1122,164.23,11.01862914,14.48,692
0.1438,42.96,9.210340372,5.64,632
0.1596,316.25,9.903487553,15.66,642
0.1438,68.73,10.59663473,15.57,642
0.147,110.46,9.472704636,9.42,637
0.1754,43.11,9.169518377,8.38,612
0.1249,140.48,10.80972795,7.68,662
0.1501,34.68,9.757305042,20,652
0.1059,133.44,10.59663473,9.51,682
0.1217,116.54,9.210340372,14.76,667
0.1375,102.17,9.392661929,19.3,667
0.1343,67.81,10.71441777,8.75,647
0.1533,365.69,11.03488966,1.72,642
0.1407,171.05,10.71441777,0.53,642
0.1091,425.04,11.03488966,20,697
0.0996,257.99,10.1266311,0.48,702
0.1501,346.73,10.81977828,7.75,647
0.1691,284.86,11.00209984,20.22,647
0.1722,464.95,10.37349118,15.98,642
0.1438,412.37,9.61580548,6.48,672
0.1628,670.59,11.51292546,9.79,662
0.128,201.6,10.95080655,15.2,667
0.1091,196.18,8.853665428,8.57,682
0.1691,489.61,13.12236338,7.47,667
0.1533,332.6,12.50617724,7.33,682
0.1501,443.81,9.798127037,2.2,657
0.0838,63.03,9.998797732,13.09,737
0.0743,108.77,12.61153775,1,802
0.0996,80.63,9.798127037,2.33,692
0.1375,170.29,11.51292546,6.2,647
0.1786,585.41,11.69524702,14.09,652
0.1691,318.69,11.15625052,1.35,637
0.147,172.59,10.81977828,15.14,647
0.1343,193.26,11.08214255,18.22,667
0.0964,287.3,11.51292546,18.24,757
0.1565,131.19,8.892886141,17.31,642
0.1091,163.48,10.65725935,1.21,677
0.1217,499.45,11.32900263,17.02,712
0.0807,141.15,9.811372264,3.29,737
0.0838,94.54,9.903487553,6.72,732
0.1186,49.72,10.23995979,14.31,667
0.147,207.11,9.998797732,20,667
0.1249,100.35,11.08214255,14.25,667
0.1596,388.28,10.22976514,12.9,647
0.0743,77.69,10.03451581,0.53,747
0.1501,403.07,10.38899537,0.74,647
0.1722,64.38,7.547501683,18.99,642
0.1722,525.75,10.1266311,14.74,652
0.1407,61.58,9.229358378,5.06,637
0.1028,81,9.298351249,7.14,692
0.1375,102.17,8.862483576,2.38,642
0.0933,127.82,10.81977828,4,702
0.1533,364.82,10.20359214,13.02,647
0.0807,78.42,11.28978191,0.09,727
0.1533,364.82,10.59663473,11.76,647
0.1091,98.09,9.472704636,4.62,672
0.1375,170.29,9.903487553,0,647
0.1059,156.23,9.652844328,0,682
0.1091,163.48,10.46310334,1.2,677
0.1186,348.03,10.81977828,13.8,682
0.1596,84.34,10.04324949,15.86,632
0.147,207.11,11.26446411,10.23,642
0.1249,167.24,12.10071213,21.35,692
0.1628,441.18,11.40756495,1.31,642
0.1312,337.52,11.08214255,25,697
0.1312,67.51,10.71441777,4.83,642
0.1754,472.38,11.08214255,23.78,657
0.1628,303.55,10.93310697,11.38,667
0.1375,340.57,10.30895266,2.16,657
0.1122,131.38,10.16585182,10.85,677
0.0838,15.76,10.40426284,2.15,717
0.1722,303.98,10.23995979,22.93,642
0.1786,360.83,10.71441777,15.65,652
0.1501,151.69,11.08214255,5.48,642
0.1754,538.84,11.08214255,10.01,647
0.1028,129.6,9.893437217,5.82,682
0.0933,131.01,9.680344001,2.7,702
0.1467,345.04,11.10194518,0.76,647
0.1754,183.21,10.19241884,13.44,627
0.1122,118.24,10.81977828,2.86,667
0.1312,40.51,11.07153262,3.77,642
0.1786,184.02,11.00209984,5.3,617
0.0933,319.54,11.05089001,0.82,717
0.1596,421.65,11.28978191,4.61,647
0.1375,166.88,10.68051622,3.01,647
0.087,158.31,9.61580548,9.84,727
0.1438,240.54,10.91508846,8.9,647
0.1122,67.33,11.47210347,25,707
0.1407,82.11,10.54534144,18.51,652
0.1754,224.52,10.46310334,19.85,657
0.1343,169.51,9.903487553,0,652
0.1722,305.77,11.00209984,8.84,642
0.1154,494.93,10.81977828,0,687
0.1533,98.39,10.30895266,21.28,652
0.1407,191.59,9.61580548,2,642
0.1343,81.37,9.903487553,11.64,652
0.1312,141.76,9.210340372,10.68,652
0.1407,143.69,10.08580911,12.55,647
0.1786,432.99,10.6046029,12.83,652
0.1122,173.25,11.15625052,25.78,722
0.1786,158.77,11.73606902,25.77,662
0.1375,204.34,9.903487553,8.4,652
0.087,158.31,10.24065669,1.8,722
0.1467,316.58,10.49127422,0.33,692
0.1659,510.47,11.03488966,24.45,662
0.1501,145.62,11.08214255,10.69,647
0.1501,332.84,11.40756495,15.33,652
0.128,278.03,10.96819829,7.99,667
0.1375,102.17,10.50506754,23.61,672
0.1754,290.97,10.89673933,9.98,642
0.1375,170.29,9.903487553,0.6,642
0.1312,118.14,10.46310334,3.94,647
0.1059,162.73,10.30895266,1.8,682
0.1596,298.67,10.27505111,11.42,667
0.1438,359.95,10.96819829,4.26,647
0.1754,376.29,10.34174248,22.37,642
0.1059,265.25,11.85863349,6.7,687
0.1533,870.68,12.01370075,13.35,687
0.1407,205.27,10.49127422,0,647
0.1438,149.48,9.852194258,13.45,642
0.1312,168.76,9.729134165,5.36,652
0.0901,15.91,7.60090246,0,702
0.128,334.3,10.20359214,1.42,667
0.1154,131.99,9.825526011,1.3,667
0.1438,768.01,12.30138283,14.5,692
0.1628,423.55,10.77895629,11.53,652
0.1028,259.2,9.83091686,6.97,697
0.1122,131.38,9.574983486,1.67,672
0.1312,168.76,10.63585545,2.48,652
0.1438,359.95,11.22524339,13.07,657
0.1312,230.36,11.41861479,9.63,692
0.1154,659.91,13.33100224,2.33,692
0.1028,294.83,10.4341158,10.66,687
0.1217,199.78,10.30895266,2.2,662
0.1122,131.38,10.40426284,15.27,672
0.1438,123.71,10.35774282,18.51,642
0.0964,320.99,9.998797732,18.55,722
0.1628,99.71,11.00209984,4.22,622
0.1186,23.21,10.0604913,11.33,657
0.1217,299.67,9.998797732,3.27,667
0.1501,346.71,10.34174248,23.34,667
0.1754,500.22,10.71441777,23.65,652
0.1407,171.06,9.472704636,13.38,642
0.1754,705.87,10.71441777,25.63,667
0.1249,836.23,11.31447453,15.13,702
0.1596,878.44,11.56171563,26.55,707
0.1438,359.95,11.24504602,9.98,642
0.0933,287.59,9.61580548,13.36,717
0.1028,162,11.15625052,0.26,687
0.1438,227.66,10.71441777,15.63,642
0.1249,468.29,11.21182037,20.68,682
0.1154,98.99,11.22524339,18.26,672
0.1628,59.12,11.38509209,26.52,652
0.1343,186.46,10.49127422,16.03,652
0.1154,164.98,10.62132735,10.36,672
0.1596,337.32,11.09741002,23.27,657
0.0933,178.94,11.46163217,0.13,702
0.1028,181.44,8.517193191,0,682
0.1438,240.54,10.30895266,4.04,642
0.1122,246.33,9.903487553,5.46,677
0.1122,82.11,10.30895266,0.4,672
0.1438,274.9,10.98529272,23.86,677
0.1407,136,10.73639668,13.51,642
0.0964,192.6,11.60823564,15.49,707
0.1249,16.73,9.798127037,19.2,657
0.1565,293.87,10.49127422,21.5,642
0.128,67.2,9.903487553,2.58,652
0.128,335.98,10.93596004,5.04,662
0.1407,239.49,10.6974208,14.92,652
0.0964,385.19,10.37349118,1.99,707
0.147,621.34,11.69524702,26.25,697
0.1407,29.08,10.23995979,21.26,642
0.1091,326.97,11.22524339,8,677
0.1375,272.46,9.903487553,13.2,652
0.128,161.27,11.04292184,12.61,652
0.1312,202.52,11.00209984,1.02,652
0.147,324.48,11.17043516,21.58,657
0.1407,855.3,12.04355372,20.2,687
0.1375,170.29,9.680344001,9.45,642
0.0933,319.54,11.2515607,16.29,717
0.1407,51.32,9.341368634,22.95,642
0.1786,88.41,10.91508846,9.62,612
0.1375,81.74,10.99373159,18.51,647
0.128,167.99,11.51292546,9.98,652
0.1343,169.51,11.49272276,12.53,647
0.1375,170.29,10.20507253,1.6,642
0.128,167.99,9.903487553,19.02,662
0.1628,882.39,11.69524702,19.02,667
0.1312,168.76,9.61580548,8.72,647
0.1596,489.29,11.08214255,21.93,657
0.1343,508.53,10.91508846,19.44,672
0.1343,162.73,11.12726298,12.11,647
0.1091,326.97,10.66895539,4.19,682
0.0996,386.99,10.71441777,2.48,707
0.1438,206.18,9.969275293,18.93,642
0.1438,227.66,10.71441777,18.32,647
0.1533,487.59,11.23848862,9.49,652
0.1501,336.31,11.03488966,17.03,642
0.128,201.59,9.392661929,3,657
0.1501,520.06,10.50506754,4.64,657
0.1217,233.07,10.66895539,11.58,662
0.1154,19.8,8.517193191,4.8,662
0.1659,35.45,9.560997244,27.55,647
0.1438,30.93,10.27505111,3.1,632
0.1122,164.22,11.35040654,7.4,672
0.0996,257.99,9.903487553,1.5,697
0.1438,137.45,9.61580548,16.32,647
0.1722,357.63,12.07254125,26.13,657
0.128,161.27,10.02127059,10.29,652
0.1375,286.08,10.4341158,14.29,652
0.1438,359.95,10.89673933,4.33,642
0.1312,843.8,12.4292162,25.03,762
0.087,177.3,9.071078305,17.52,727
0.1438,412.35,11.51292546,11.4,647
0.1059,624.87,10.49127422,0.33,712
0.0996,51.6,9.798127037,10.33,682
0.1059,130.18,11.05089001,17.89,682
0.0838,189.08,10.81977828,4.51,727
0.1059,650.9,11.53272809,2.55,707
0.1091,404.62,11.28978191,8.21,687
0.1059,325.45,10.83958091,0.54,687
0.1438,294.66,10.91508846,12.87,642
0.1375,340.57,11.74878779,1.95,657
0.1438,247.41,10.87804719,15.65,647
0.1375,170.29,10.46310334,1.37,642
0.1249,50.18,9.655026193,14.23,652
0.1186,232.04,11.1844214,9.18,667
0.1786,557.48,11.8493977,24.04,652
0.1217,59.94,10.6454249,1.71,657
0.1059,162.73,11.1519556,13.31,687
0.1659,531.74,10.61643736,20.53,652
0.0964,770.37,11.09741002,0,742
0.128,503.97,11.00209984,22.44,687
0.1059,325.45,10.1266311,10.22,687
0.1343,142.39,10.30895266,13.16,647
0.087,158.31,10.20359214,0.93,717
0.1249,80.28,10.63055295,20.56,662
0.1438,359.95,10.82774645,6.69,647
0.1501,866.76,12.1281111,24.59,697
0.1565,349.85,11.1844214,28.4,692
0.1312,438.78,11.65442503,10.33,662
0.147,138.08,10.22557105,22.61,642
0.1028,155.52,10.30895266,8.96,682
0.0743,93.23,9.574983486,0,757
0.1091,163.49,12.48370438,8.3,677
0.1059,781.08,12.01370075,18.76,732
0.128,302.38,9.929788627,26.88,742
0.1628,352.96,10.1266311,5.09,652
0.147,276.15,10.83565163,19.13,647
0.1722,286.1,10.49127422,23.47,657
0.1375,102.17,10.59663473,16.71,642
0.1407,400.28,10.55205569,11.26,652
0.1596,505.98,11.26446411,13.78,652
0.1186,33.15,10.6454249,3.42,657
0.1059,325.45,11.2515607,16.54,692
0.1091,408.71,10.49127422,12.27,692
0.1533,313.45,10.59663473,21.9,652
0.1628,282.37,10.18111929,25,662
0.1375,851.41,12.67607627,22.68,732
0.1249,485.01,10.59663473,0.45,667
0.1438,675.23,11.31447453,21.03,672
0.1217,99.89,10.21200113,14.85,662
0.0901,318.05,10.08580911,5,722
0.128,167.99,10.77895629,27.6,712
0.1533,383.1,10.30895266,18.52,647
0.1343,339.02,11.40529571,4.78,657
0.1059,390.54,10.67359577,6.36,687
0.1438,97.08,10.59663473,28.68,692
0.1407,20.53,10.34817337,20.54,642
0.0996,806.22,11.36210258,0,727
0.0964,188.58,9.798127037,16.13,707
0.1186,198.89,10.51867319,4.54,667
0.1122,328.43,10.6454249,0.94,697
0.0996,25.8,8.699514748,0,682
0.1565,524.77,11.1844214,8.73,652
0.128,100.8,10.77895629,5.2,647
0.1786,72.17,10.70099475,28.73,647
0.128,503.97,12.52815614,17.87,672
0.1312,337.52,12.52815614,20.06,672
0.1028,518.39,11.28978191,0.62,712
0.1059,78.11,10.03240833,5.7,672
0.128,100.8,11.22524339,3.42,647
0.1091,326.97,10.26813067,2.46,682
0.1438,412.35,11.30958454,19.49,657
0.1565,524.77,10.858999,11.54,652
0.1059,237.58,11.08214255,12.54,682
0.1438,46.39,11.00209984,21.34,642
0.1122,591.18,12.27373129,11.61,692
0.1091,19.62,9.61580548,11.68,692
0.1154,49.5,8.987196821,11.1,662
0.0996,515.98,11.28978191,16.29,717
0.0933,31.96,9.878169745,0.92,692
0.1312,270.02,10.18111929,11.32,657
0.1059,390.54,12.27373129,11.78,692
0.1786,902.06,12.76568843,17.64,657
0.1438,515.44,10.49127422,26.53,697
0.147,276.15,10.87426647,18.52,647
0.1375,495.52,11.33857208,19.1,662
0.1754,748.08,11.14186178,14.71,652
0.1343,27.13,10.16585182,0,637
0.1501,277.37,10.91508846,28.43,697
0.1659,106.35,9.392661929,17.1,632
0.1122,472.94,11.40756495,15,687
0.1565,349.85,10.18111929,29.41,692
0.1312,202.52,11.55214618,6.95,652
0.1122,229.91,11.58988651,21.97,692
0.1154,527.93,12.03171926,6.23,682
0.1407,342.12,10.7381343,25.91,697
0.1628,564.73,10.91871823,7.96,652
0.1249,83.63,11.46163217,16.19,657
0.0996,54.02,8.881836305,17.33,687
0.1312,810.05,11.00209984,25.08,757
0.0901,254.44,10.77895629,8.3,717
0.1501,495.79,10.30895266,12.76,657
0.0964,240.74,11.1844214,15.72,712
0.1691,154.9,10.37349118,27.15,652
0.1343,508.53,11.00209984,2.16,662
0.1501,350.17,10.55581274,21.81,657
0.1438,254.29,10.49127422,26.08,682
0.1122,246.33,10.37098805,6.62,677
0.1722,661.61,10.54534144,9.76,642
0.1059,325.45,10.81977828,13.9,697
0.087,316.61,10.49127422,0.6,727
0.1741,622.13,10.81977828,16.92,647
0.1425,274.4,10.91508846,15.53,652
0.1709,24.99,9.942708266,28.42,662
0.1362,81.59,10.77058804,15.53,647
0.0838,315.12,10.5865844,5.67,737
0.0983,160.94,10.71441777,0.67,702
0.1078,163.18,10.18111929,13.55,687
0.1109,688.41,12.30138283,21.28,747
0.1141,55.17,9.743788174,21.75,687
0.152,443.24,10.41774727,17.08,657
0.1583,286.73,10.51867319,22.25,647
0.133,253.79,10.30895266,14.08,662
0.1172,35.57,8.9226583,19.2,672
0.1362,56.09,11.12726298,5.61,682
0.1204,232.64,11.05089001,14.55,672
0.1078,244.76,11.09741002,5.13,687
0.1393,187.8,10.4341158,19.34,657
0.1362,163.17,11.00209984,21.03,662
0.1109,65.57,10.59663473,9.98,672
0.133,169.2,10.34174248,16.88,657
0.133,406.07,11.28978191,8.64,662
0.1078,326.35,10.36501788,13.01,702
0.133,406.07,10.49127422,12.77,662
0.1457,248.08,11.29476946,26.49,692
0.1299,16.85,10.19913779,10,652
0.133,406.07,10.70324447,20.14,677
0.1488,471.52,11.09741002,22.16,662
0.0983,482.82,11.09741002,9.38,732
0.1141,148.2,10.30895266,13.88,677
0.0983,193.13,9.729134165,7.07,702
0.1583,701.47,11.15625052,13.94,672
0.1425,82.32,11.00967111,22.93,652
0.1014,355.67,10.6454249,12.94,712
0.133,81.22,10.08580911,11.35,652
0.133,67.68,9.887358171,23.6,677
0.1141,65.87,8.411832676,4,667
0.1236,200.32,11.05089001,14.51,667
0.1046,324.84,11.33857208,16.67,722
0.1615,450.96,10.89673933,20.2,657
0.1172,793.94,11.8493977,8.39,707
0.1804,682.76,11.69524702,19.33,647
0.1299,134.76,11.39611071,6.78,657
0.133,203.04,10.59663473,5.13,657
0.1646,106.16,11.00209984,28.16,672
0.1046,68.22,10.43998092,10.04,682
0.1078,815.87,11.36210258,0.75,717
0.1109,458.94,11.3009691,15.63,702
0.152,208.59,10.49127422,18.53,642
0.0951,372.44,9.903487553,14.58,737
0.1615,233.41,10.39476332,29.07,687
0.1141,98.8,9.472704636,10.43,672
0.1299,505.34,11.40756495,10.24,672
0.1646,265.39,10.71441777,23.04,652
0.1425,171.5,11.05089001,17.22,647
0.1488,207.64,10.62132735,15.75,642
0.1615,704.63,11.1124479,21.83,667
0.1393,592.4,10.81977828,23.47,697
0.133,84.6,10.12502982,0.96,652
0.1551,418.99,11.03488966,15.38,647
0.1551,438.2,11.19821472,19.73,657
0.1299,808.54,12.3883942,9.67,682
0.1804,202.57,10.71441777,25.84,647
0.1046,77.97,10.20359214,19.29,697
0.1299,203.82,10.71441777,22.77,692
0.092,191.36,11.48246626,19.6,737
0.1583,526.1,11.00209984,17.28,657
0.1236,300.48,11.8493977,16.9,672
0.1457,516.83,10.8177362,25.4,707
0.1393,102.44,9.392661929,3.9,642
0.1141,386.97,11.98292909,12.26,702
0.0838,75.63,9.663007082,3.82,722
0.1425,68.6,11.12726298,14.45,642
0.0743,49.72,8.160518247,5.14,752
0.1236,534.19,11.31447453,16.27,682
0.1551,230.45,11.98292909,25.11,692
0.152,470.18,10.77895629,26.08,687
0.1615,176.16,10.93310697,24.36,652
0.1425,171.5,10.46310334,21.5,657
0.1204,66.47,9.83734775,0.96,662
0.1425,343,10.52406404,17.55,657
0.1141,342.51,10.91508846,4.95,682
0.092,255.15,10.858999,11.08,732
0.1551,418.99,10.59663473,2.4,642
0.1836,436,11.12726298,26.7,657
0.1425,411.6,11.15625052,9.77,657
0.1299,175.19,10.73639668,3.89,657
0.1362,84.99,10.08580911,10.65,647
0.152,312.01,10.16585182,4.34,642
0.1078,293.72,11.91839057,11.57,687
0.1488,276.86,10.9331784,5.34,642
0.1393,239.01,11.15625052,23.21,677
0.1488,276.86,10.4341158,16.91,647
0.1204,830.84,11.56171563,3.73,702
0.092,95.68,10.59663473,0.99,707
0.1836,630.39,11.87756858,29.96,667
0.1804,682.76,11.08214255,22.01,657
0.1204,18.28,9.83734775,5.22,662
0.1141,395.2,10.67821472,14.9,692
0.1583,397.21,10.83958091,15.93,642
0.1583,526.1,12.01370075,13.52,657
0.152,208.59,10.31692083,19.96,642
0.1804,532.64,11.31447453,20.96,657
0.1141,230.54,10.42228135,17.04,682
0.1141,395.2,10.90411943,19.46,697
0.1046,97.46,10.86283777,4.34,682
0.1836,726.67,11.9511804,25.27,667
0.1646,329.97,10.81977828,26.86,662
0.1425,102.9,10.95185862,22.17,657
0.1141,164.67,10.32548196,0.39,677
0.1804,682.76,11.35040654,16.28,647
0.1551,261.87,11.22524339,27.2,677
0.1709,211.51,10.81977828,26.52,657
0.1772,360.13,11.30684796,25.91,657
0.1362,224.36,10.50232405,14.34,657
0.1836,447.81,10.89673933,14.82,647
0.1488,349.53,10.66895539,27.99,692
0.092,57.41,10.46310334,10.94,707
0.1172,529.3,11.22524339,1.06,692
0.1299,168.45,9.903487553,9.78,657
0.152,417.17,10.54534144,5.81,647
0.1078,261.08,10.04324949,7.83,687
0.1046,81.21,10.71441777,17.95,687
0.1457,186.06,9.998797732,8.73,642
0.1362,169.97,10.20359214,19.42,657
0.1078,262.71,11.00209984,3.48,702
0.1393,280.84,11.91839057,19.13,687
0.1393,61.46,10.29214554,22.13,657
0.1804,627.6,11.65268741,21.03,652
0.1393,273.15,10.20359214,11.02,652
0.1292,188.48,10.30895266,8.2,662
0.1071,84.77,9.83734775,0.64,682
0.1039,30.02,12.20906815,11.85,732
0.1671,532.63,11.51292546,29.04,692
0.1071,195.61,10.55581274,12.28,687
0.1482,138.31,11.51292546,24.79,662
0.1482,414.93,11.39639165,3.49,652
0.1829,755.91,12.83201108,8.52,652
0.1482,345.78,11.55214618,25.47,692
0.1576,300.46,10.49127422,22.53,647
0.1071,328.47,11.46163217,13.43,737
0.1387,71.65,10.38899537,18.37,657
0.1355,271.68,10.858999,27.05,717
0.1545,418.64,10.858999,9.74,647
0.1355,81.51,10.19913779,7.98,647
0.1166,66.11,10.51867319,17.29,672
0.1418,57.4,10.25765937,17.47,642
0.1355,615.52,10.89673933,21.27,677
0.1513,260.47,11.15625052,15.99,642
0.1829,849.38,11.22524339,8.54,657
0.1861,464.86,11.22524339,29.47,662
0.145,289.14,10.81977828,16.68,657
0.1797,650.48,11.22524339,15.97,647
0.1829,352.1,10.94574111,25.5,657
0.1545,401.2,10.81977828,7.9,662
0.1608,624.74,11.15625052,29.16,707
0.1387,475.05,10.76587105,25.66,717
0.1355,394.78,10.46310334,21.22,677
0.1387,402.56,11.14965741,8.8,677
0.1103,818.83,12.32385568,12.66,712
0.1261,670.13,11.38053628,14.92,692
0.1008,129.22,10.77895629,0.75,702
0.1829,435.58,11.03488966,25.26,657
0.1513,451.48,11.26446411,29.28,717
0.1355,848.99,11.1844214,2.02,687
0.1766,620.7,11.03488966,20.44,657
0.1134,197.4,10.37349118,21.9,702
0.1797,129.2,10.4341158,27.42,647
0.1197,132.8,9.980448594,22.5,692
0.1008,64.61,10.77895629,0,697
0.1197,481.4,11.77528973,10.85,682
0.1576,525.58,10.6454249,7.86,657
0.1229,280.17,11.04292184,14.65,677
0.1261,228.69,11.14186178,23.62,712
0.1071,176.05,11.22524339,1.01,702
0.1513,333.4,11.15625052,16.35,647
0.1545,645.4,11.1611812,28.78,717
0.1387,852.87,11.95761129,20.79,712
0.145,385.52,11.00209984,5.74,657
0.145,172.11,10.91871823,4.54,642
0.1324,338.1,10.39537498,26.12,727
0.1545,122.11,10.52325726,28.66,697
0.1166,52.89,11.3955486,16.64,672
0.1261,50.26,10.1266311,1.87,657
0.145,70.57,10.02127059,27.73,682
0.1829,871.16,12.03750605,7.86,657
0.1229,80.05,9.169518377,0,662
0.1608,281.58,10.83958091,28.47,687
0.1418,51.4,10.37972173,16.36,642
0.1229,100.06,9.744022778,10.91,667
0.1418,342.66,11.2009507,0.74,657
0.1229,50.03,10.30895266,14.12,662
0.1008,113.07,10.3859137,0.56,702
0.1734,687.79,11.24255927,12.74,652
0.1134,789.6,11.46163217,18.38,722
0.145,206.53,10.96819829,19.92,652
0.0945,192.06,11.08214255,0.92,712
0.1134,197.4,9.798127037,3.67,687
0.1355,67.92,10.6454249,18.06,657
0.1829,185.13,10.49127422,25.67,642
0.1545,348.87,10.77895629,13.38,642
0.1355,122.26,10.77895629,12.05,652
0.1608,409.16,10.858999,25.55,677
0.1513,121.56,10.40426284,26.15,677
0.1387,119.41,10.1266311,3.94,652
0.1355,135.84,11.27973158,15.06,657
0.145,247.84,9.903487553,6.3,652
0.164,106.07,10.727663,29.24,677
0.1513,243.11,11.58988651,27.63,682
0.1166,115.69,10.4487146,16.23,677
0.145,516.32,11.69524702,24.95,677
0.1324,20.29,9.546812609,22.03,662
0.1166,809.78,11.90158345,18.43,722
0.1292,269.25,11.34568955,27.45,737
0.1608,111.75,10.49127422,26.03,667
0.1608,281.58,11.71888216,25.27,672
0.1324,540.96,11.51292546,21.9,687
0.1482,359.61,11.15625052,3.82,647
0.1261,299.89,10.25765937,15.87,672
0.0976,160.78,10.19913779,2.37,712
0.1545,251.18,10.77895629,25.25,677
0.0976,385.86,11.22524339,0.4,727
0.1197,448.2,11.26446411,6.39,682
0.1576,796.26,11.15625052,29.21,732
0.1292,156.5,11.34398597,18.1,667
0.1418,493.42,10.46310334,17.93,662
0.1418,287.83,11.37939407,1.49,652
0.1513,243.11,11.53272809,5.93,642
0.1039,324.51,10.81977828,20.09,737
0.1703,535.02,11.51292546,10.85,642
0.1829,685.13,12.32385568,12.05,642
0.145,137.69,10.56607243,22.05,657
0.1292,269.25,11.07013225,12.07,667
0.1861,451.19,11.52386541,29.7,662
0.1861,241.55,11.9511804,28.17,657
0.1008,64.61,9.862665558,6.94,697
0.1229,166.77,11.26446411,8.15,667
